,strikePrice,expiryDate,bid/ask,side,instrument_name,margin_required,premium_earned
84,54900,2024-12-24,2350.5,PE,BANKNIFTY,0.0,35257.5
85,55000,2024-12-24,2647.0,PE,BANKNIFTY,44485.5,39705.0
86,55100,2024-12-24,2371.8,PE,BANKNIFTY,0.0,35577.0
87,55200,2024-12-24,2568.45,PE,BANKNIFTY,0.0,38526.75
88,55300,2024-12-24,2647.7,PE,BANKNIFTY,0.0,39715.5
89,55400,2024-12-24,2729.4,PE,BANKNIFTY,0.0,40941.0
90,55500,2024-12-24,3188.65,PE,BANKNIFTY,51750.0,47829.75
91,55600,2024-12-24,2909.2,PE,BANKNIFTY,0.0,43638.0
92,55700,2024-12-24,2969.9,PE,BANKNIFTY,0.0,44548.5
93,55800,2024-12-24,3233.1,PE,BANKNIFTY,0.0,48496.5
94,55900,2024-12-24,3324.9,PE,BANKNIFTY,0.0,49873.5
95,56000,2024-12-24,3639.2,PE,BANKNIFTY,59844.0,54588.0
96,56100,2024-12-24,3515.1,PE,BANKNIFTY,0.0,52726.5
97,56200,2024-12-24,3604.45,PE,BANKNIFTY,0.0,54066.75
98,56300,2024-12-24,3703.45,PE,BANKNIFTY,0.0,55551.75
99,56400,2024-12-24,3793.55,PE,BANKNIFTY,0.0,56903.25
100,56500,2024-12-24,3924.45,PE,BANKNIFTY,64295.99999999999,58866.75
101,56600,2024-12-24,3977.45,PE,BANKNIFTY,0.0,59661.75
102,56700,2024-12-24,4066.7,PE,BANKNIFTY,0.0,61000.5
103,56800,2024-12-24,4160.35,PE,BANKNIFTY,0.0,62405.25000000001
104,56900,2024-12-24,4249.4,PE,BANKNIFTY,0.0,63740.99999999999
105,57000,2024-12-24,4541.65,PE,BANKNIFTY,72749.25,68124.75
106,57100,2024-12-24,4430.0,PE,BANKNIFTY,0.0,66450.0
107,57200,2024-12-24,4665.5,PE,BANKNIFTY,0.0,69982.5
108,57300,2024-12-24,4246.65,PE,BANKNIFTY,0.0,63699.74999999999
109,57400,2024-12-24,4086.4,PE,BANKNIFTY,0.0,61296.0
110,57500,2024-12-24,4529.85,PE,BANKNIFTY,81000.0,67947.75
111,58000,2024-12-24,4957.7,PE,BANKNIFTY,82392.0,74365.5
112,58500,2024-12-24,5283.6,PE,BANKNIFTY,59112.0,79254.0
113,59000,2024-12-24,6446.7,PE,BANKNIFTY,100500.0,96700.5
114,59500,2024-12-24,5927.2,PE,BANKNIFTY,0.0,88908.0
115,60000,2024-12-24,6385.85,PE,BANKNIFTY,0.0,95787.75
116,60500,2024-12-24,7883.1,PE,BANKNIFTY,0.0,118246.5
117,61000,2024-12-24,8410.35,PE,BANKNIFTY,135010.5,126155.25
118,61500,2024-12-24,8896.8,PE,BANKNIFTY,143239.5,133452.0
119,62000,2024-12-24,9036.0,PE,BANKNIFTY,0.0,135540.0
